Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD-10000,2022-04-13,2022-04-19,Same Day,CUST-1725,Customer_475,Corporate,India,Bangalore,Maharashtra,626632,South,PROD-753,Technology,Machines,Scanner,964.66,6,0.02,125.41
2,ORD-10001,2023-03-12,2023-03-15,Same Day,CUST-6202,Customer_118,Consumer,India,Delhi,Tamil Nadu,623864,North,PROD-152,Office Supplies,Paper,A4 Paper Pack,1655.02,4,0.08,115.85
3,ORD-10002,2022-09-28,2022-09-30,First Class,CUST-9082,Customer_136,Consumer,India,Bangalore,Telangana,655779,North,PROD-302,Office Supplies,Paper,Notebook Pack,2028.37,2,0.1,101.42
4,ORD-10003,2022-04-17,2022-04-18,First Class,CUST-7893,Customer_316,Corporate,India,Kochi,Karnataka,604654,North,PROD-387,Technology,Accessories,Keyboard,2858.25,9,0.09,171.5
5,ORD-10004,2022-03-13,2022-03-19,Second Class,CUST-7188,Customer_331,Corporate,India,Hyderabad,Delhi,673253,North,PROD-777,Furniture,Chairs,Executive Chair,1542.58,4,0.28,-200.54
6,ORD-10005,2023-12-02,2023-12-05,Standard Class,CUST-7929,Customer_14,Home Office,India,Mumbai,Delhi,637378,North,PROD-228,Technology,Phones,Desk Phone,2675.26,2,0.28,-347.78
7,ORD-10006,2022-01-21,2022-01-23,First Class,CUST-5203,Customer_466,Consumer,India,Chennai,Maharashtra,603312,South,PROD-540,Technology,Phones,Desk Phone,2919.56,6,0.12,87.59
8,ORD-10007,2023-09-07,2023-09-09,Second Class,CUST-2767,Customer_172,Home Office,India,Mumbai,Karnataka,683713,West,PROD-548,Office Supplies,Paper,A4 Paper Pack,758.56,1,0.25,-75.86
9,ORD-10008,2022-05-02,2022-05-08,First Class,CUST-1535,Customer_86,Consumer,India,Hyderabad,Kerala,691023,South,PROD-776,Furniture,Tables,Study Table,3436.66,3,0.16,-34.37
10,ORD-10009,2023-04-12,2023-04-16,Second Class,CUST-6854,Customer_65,Home Office,India,Chennai,Telangana,662242,South,PROD-420,Office Supplies,Paper,A4 Paper Pack,878.13,6,0.06,79.03
11,ORD-10010,2022-08-03,2022-08-04,Second Class,CUST-1758,Customer_213,Consumer,India,Delhi,Maharashtra,628843,West,PROD-976,Office Supplies,Storage,Plastic Storage Box,1748.13,9,0.01,244.74
12,ORD-10011,2022-11-27,2022-11-29,Same Day,CUST-6788,Customer_292,Corporate,India,Delhi,Karnataka,683133,West,PROD-221,Office Supplies,Binders,File Binder,1273.35,2,0.29,-178.27
13,ORD-10012,2023-04-04,2023-04-10,Same Day,CUST-3352,Customer_276,Corporate,India,Kochi,Telangana,652332,South,PROD-225,Office Supplies,Binders,Ring Binder,3276.67,2,0.25,-327.67
14,ORD-10013,2022-03-29,2022-04-04,First Class,CUST-7662,Customer_56,Consumer,India,Chennai,Tamil Nadu,639914,West,PROD-642,Furniture,Tables,Study Table,2500.9,9,0.09,150.05
15,ORD-10014,2023-01-08,2023-01-11,Standard Class,CUST-5024,Customer_78,Corporate,India,Bangalore,Kerala,693348,North,PROD-294,Furniture,Chairs,Ergo Chair,3110.01,1,0.23,-248.8
16,ORD-10015,2022-04-10,2022-04-14,Same Day,CUST-1944,Customer_428,Corporate,India,Bangalore,Karnataka,677292,South,PROD-160,Furniture,Chairs,Ergo Chair,2612.32,4,0.12,78.37
17,ORD-10016,2023-10-26,2023-10-27,First Class,CUST-9110,Customer_451,Home Office,India,Mumbai,Telangana,623076,North,PROD-702,Furniture,Bookcases,Metal Bookcase,3398.27,9,0.04,373.81
18,ORD-10017,2022-05-11,2022-05-16,First Class,CUST-3662,Customer_195,Consumer,India,Chennai,Tamil Nadu,609932,North,PROD-872,Office Supplies,Paper,Notebook Pack,323.9,5,0.04,35.63
19,ORD-10018,2023-10-24,2023-10-27,Standard Class,CUST-6260,Customer_265,Corporate,India,Mumbai,Kerala,690779,South,PROD-568,Office Supplies,Storage,Drawer Organizer,583.83,4,0.23,-46.71
